Название	Название-2	Соседние станции	Субъект РФ	Направление	lat	lng
Коровино	Коровино	146 км, 152 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Космос	Космос	Авиационная, Аэропорт-Домодедово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Костино	Костино	61 км, 69 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Красноармейск	Красноармейск	Путилово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Красный Строитель	Красный Строитель	Битца, Покровское	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Крутое	Крутое	Орехово-Зуево, Воиново	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Купавна	Купавна	30 км, 33 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кусково	Кусково	Чухлинка, Новогиреево, Перово	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Кутузово		Воробьевы Горы, Пресня	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Кутузовская	Кутузовская	Весенняя, Подольск	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Кучино	Кучино	Салтыковская, Железнодорожная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Латыгоры	Латыгоры	РАЗЪЕЗД 47 КМ, 53 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ленинская	Ленинская	Домодедово, Калинина	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ленская	Ленская	Павловский Посад, Ковригино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Лесные Дары	Лесные Дары	Шкинь, Шубатово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Лефортово		Черкизово, Андроновка	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лихоборы	ЕСР: 198813		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лосиноостровская	Лосиноостровская	Лось, Северянин, Москва-Товарная-Ярославская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лось	Лось	Лосиноостровская, Перловская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лошатовка	Лошатовка	12 км, 18 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Луч	Луч	Шарапова Охота, Чехов	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Львовская	Львовская	Колхозная, Гривно	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Люблино	Люблино	Люблино-Сортировочное, Текстильщики	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Люблино-Сортировочное		Люблино, Депо	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лютик	Лютик	Мякинино, Яганово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Макеево-Московское	Макеево-Московское	РАЗЪЕЗД 47 КМ, 35 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Маленковская	Маленковская	Москва 3, Яуза	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Малино	Малино	332 км, 341 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Мамонтовская	Мамонтовская	Клязьма, Пушкино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Машиностроитель	Машиностроитель	Электросталь, Ногинск	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Металлург	Металлург	Фрязево, Электросталь	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Михнево	Михнево	Шугарево, 328 км, Усады-Окружные, Привалово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
